source_id,reference_text,model_name,candidate_text,prompt_type,rouge1_f1,rouge2_f1,rougeL_f1,meteor,reference_tokens,candidate_tokens
2-s2.0-105027458145,"Effective aircraft maintenance is crucial in ensuring safety, reliability, and cost-effectiveness in the aviation industry. Recent research and industry developments in artificial intelligence (AI) raise the potential to transform various aspects of aircraft maintenance, including predictive maintenance, fault diagnosis, and aircraft health monitoring and management. This paper presents a systematic literature review of AI technologies such as Automated Reasoning and Deep Learning in aircraft maintenance, highlighting its challenges and prospects. An extensive literature search resulted in a final dataset of 696 publications, covering the 40-years period from 1984 till 2024 and describing AI applications in airworthiness management, aircraft health monitoring, and maintenance, repair, and overhaul operations. These publications were analyzed to identify key AI technologies and related aircraft maintenance processes, identifying trends, popular research venues, and underexplored areas. The review concludes with insights into AI adoption in aircraft maintenance and its potential implications for researchers, practitioners, educators, and other stakeholders. © 2026, Prognostics and Health Management Society. All rights reserved.",llama-3.1-8b-instruct,"The reliability and efficiency of aircraft maintenance are pivotal to ensuring safety, cost-effectiveness, and operational readiness in the aviation industry. The advent of artificial intelligence (AI) has the potential to revolutionize various aspects of aircraft maintenance, including predictive maintenance, fault diagnosis, and aircraft health monitoring and management. This study undertakes a comprehensive review of AI technologies, specifically Automated Reasoning and Deep Learning, in the context of aircraft maintenance. A thorough literature search yielded a dataset of 696 publications spanning four decades, from 1984 to 2024, which describe AI applications in airworthiness management, aircraft health monitoring, and maintenance, repair, and overhaul operations. The analysis of these publications reveals key AI technologies and associated aircraft maintenance processes, as well as trends, prominent research venues, and underexplored areas of investigation. The findings of this review provide valuable insights into the adoption of AI in aircraft maintenance and its potential implications for researchers, practitioners, educators, and other stakeholders in the aviation industry. The results of this study aim to inform the development of more effective AI-based maintenance strategies and contribute to the advancement of aircraft maintenance practices.",factual,0.6647398843930636,0.4534883720930233,0.6069364161849711,0.6586497236188461,161,185
2-s2.0-105027458145,"Effective aircraft maintenance is crucial in ensuring safety, reliability, and cost-effectiveness in the aviation industry. Recent research and industry developments in artificial intelligence (AI) raise the potential to transform various aspects of aircraft maintenance, including predictive maintenance, fault diagnosis, and aircraft health monitoring and management. This paper presents a systematic literature review of AI technologies such as Automated Reasoning and Deep Learning in aircraft maintenance, highlighting its challenges and prospects. An extensive literature search resulted in a final dataset of 696 publications, covering the 40-years period from 1984 till 2024 and describing AI applications in airworthiness management, aircraft health monitoring, and maintenance, repair, and overhaul operations. These publications were analyzed to identify key AI technologies and related aircraft maintenance processes, identifying trends, popular research venues, and underexplored areas. The review concludes with insights into AI adoption in aircraft maintenance and its potential implications for researchers, practitioners, educators, and other stakeholders. © 2026, Prognostics and Health Management Society. All rights reserved.",gemma-2-9b-it,"The aviation industry relies heavily on effective aircraft maintenance to guarantee safety, reliability, and cost-efficiency.  Advancements in artificial intelligence (AI) offer promising opportunities to revolutionize various facets of aircraft maintenance, including predictive maintenance, fault diagnosis, and overall aircraft health management. This study conducts a comprehensive review of AI technologies, specifically Automated Reasoning and Deep Learning, as applied to aircraft maintenance.  A thorough literature search encompassing publications from 1984 to 2024 yielded a dataset of 696 articles focusing on AI applications in airworthiness management, aircraft health monitoring, and maintenance, repair, and overhaul operations.  Analysis of these publications revealed key AI technologies and their corresponding applications in aircraft maintenance processes, highlighting emerging trends, prominent research areas, and potential gaps in knowledge. The review concludes by offering insights into the adoption of AI in aircraft maintenance and its potential impact on researchers, industry professionals, educators, and other stakeholders.",factual,0.6775244299674267,0.419672131147541,0.5667752442996742,0.6219466458607706,161,146
2-s2.0-105027458145,"Effective aircraft maintenance is crucial in ensuring safety, reliability, and cost-effectiveness in the aviation industry. Recent research and industry developments in artificial intelligence (AI) raise the potential to transform various aspects of aircraft maintenance, including predictive maintenance, fault diagnosis, and aircraft health monitoring and management. This paper presents a systematic literature review of AI technologies such as Automated Reasoning and Deep Learning in aircraft maintenance, highlighting its challenges and prospects. An extensive literature search resulted in a final dataset of 696 publications, covering the 40-years period from 1984 till 2024 and describing AI applications in airworthiness management, aircraft health monitoring, and maintenance, repair, and overhaul operations. These publications were analyzed to identify key AI technologies and related aircraft maintenance processes, identifying trends, popular research venues, and underexplored areas. The review concludes with insights into AI adoption in aircraft maintenance and its potential implications for researchers, practitioners, educators, and other stakeholders. © 2026, Prognostics and Health Management Society. All rights reserved.",qwen-2.5-7b-instruct,"The critical importance of effective aircraft maintenance for ensuring aviation safety, reliability, and economic efficiency drives continuous exploration of advanced methodologies. Artificial Intelligence (AI), particularly Automated Reasoning and Deep Learning, emerges as a transformative technology with the potential to revolutionize aircraft maintenance practices. This study conducts a comprehensive literature review focusing on AI applications in aircraft maintenance, spanning from 1984 to 2024. A thorough literature search yielded 696 relevant publications, detailing AI implementations in airworthiness management, aircraft health monitoring, and maintenance, repair, and overhaul operations. By analyzing these sources, this review identifies prominent AI technologies and their integration into maintenance processes, highlights emerging trends, and delineates less explored research domains. The findings underscore the growing role of AI in aircraft maintenance and provide valuable insights for researchers, practitioners, educators, and industry stakeholders regarding future directions and challenges.",factual,0.5771812080536913,0.2905405405405405,0.40939597315436244,0.4547007277714616,161,137
2-s2.0-105027458145,"Effective aircraft maintenance is crucial in ensuring safety, reliability, and cost-effectiveness in the aviation industry. Recent research and industry developments in artificial intelligence (AI) raise the potential to transform various aspects of aircraft maintenance, including predictive maintenance, fault diagnosis, and aircraft health monitoring and management. This paper presents a systematic literature review of AI technologies such as Automated Reasoning and Deep Learning in aircraft maintenance, highlighting its challenges and prospects. An extensive literature search resulted in a final dataset of 696 publications, covering the 40-years period from 1984 till 2024 and describing AI applications in airworthiness management, aircraft health monitoring, and maintenance, repair, and overhaul operations. These publications were analyzed to identify key AI technologies and related aircraft maintenance processes, identifying trends, popular research venues, and underexplored areas. The review concludes with insights into AI adoption in aircraft maintenance and its potential implications for researchers, practitioners, educators, and other stakeholders. © 2026, Prognostics and Health Management Society. All rights reserved.",mistral-7b-instruct-v0.3,"In the aviation sector, efficient aircraft maintenance is pivotal for ensuring safety, dependability, and economic viability. The burgeoning advancements in artificial intelligence (AI) offer a promising avenue to revolutionize various maintenance aspects, including predictive maintenance, fault diagnosis, and aircraft health monitoring and management. This study systematically reviews the application of AI technologies, specifically Automated Reasoning and Deep Learning, in aircraft maintenance, delineating the associated challenges and opportunities. A comprehensive literature search yielded a dataset of 696 publications spanning four decades (1984-2024), encompassing AI applications in airworthiness management, aircraft health monitoring, and maintenance, repair, and overhaul operations. The analysis of these publications revealed key AI technologies and their associated maintenance processes, identified trends, preferred research forums, and under-researched areas. The review concludes by offering insights into the adoption of AI in aircraft maintenance and its potential implications for researchers, practitioners, educators, and other stakeholders, thereby providing a valuable resource for further exploration in this field. © 2026, Prognostics and Health Management Society. All rights reserved.",factual,0.687116564417178,0.4691358024691358,0.6319018404907976,0.6350701293528563,161,165
2-s2.0-105028211049,"As the popularity and accessibility of artificial intelligence (AI) in learning continue to rise, online education has increasingly incorporated AI. It is imperative to investigate how AI in the scholarly community supports the learning of autonomous students. This scoping review investigated articles that employed AI in discussion forums. The objective of this study is to develop a summary that denotes the effective integration of AI in discussion forums, thereby characterizing the overall learning experience. In accordance with the search, appraisal, synthesis, and analysis (SALSA) framework, the preferred reporting items for systematic reviews and meta-analyses (PRISMA) flow diagram was employed to design the article screening and selection process. Scopus was utilized for the literature search, resulting in the identification of twelve articles that met the predetermined inclusion and exclusion criteria. The extracted articles covered the following six applications: intelligent tutoring systems, AI-assisted apps, chatbots, automatic formative assessment, AI teaching assistants, and AI-assisted lifelong learning assistants. Three types of man-machine partnerships related to the activities are discussed: student-AI partnerships, student-AI-student partnerships, and student-AI-teacher partnerships, the latter being the most commonly observed. The generated content was frequently processed through teacher adjustments and checks. Components of community of inquiry theory were adapted as indicators. Cognitive presence was observed to be more predominant than social presence, with a particular emphasis on individual learning achievements. Three distinct perspectives regarding the role of AI in learning were identified. The first perspective posited that AI functioned as a virtual teacher, supplementing the teaching functions of human teachers and delivering information to students. In the second perspective, AI facilitated students in collecting information by enabling interactions with messages or peers. In the third perspective, the significance of the automatic evaluation function, which assessed learning activities and provided feedback to enhance the system while simultaneously implementing immediate changes in the learning process, was acknowledged. Regarding the role of communication, teachers clearly intended for students to acquire knowledge through it. Despite the focus on assisting individual learners, each article encompassed references from a wide range of fields and exhibited substantial diversity overall. Consequently, the domain of discussion forums with AI was depicted through the complex interplay between technology, pedagogy, and the learning environment. This context is known as entangled pedagogies, which emphasize understanding the interconnections among these elements and their reciprocal influences. In summary, AI was predominantly utilized in the form of chatbots and GenAI in discussion forums. Emerging AI roles included virtual teachers, peer/message matching, and automated evaluation. Aggregated information was presented in a manner that supported student learning. AI also served as a conduit between students and teachers. © The Authors.",llama-3.1-8b-instruct,"This study examines the integration of artificial intelligence (AI) in online discussion forums to support autonomous learners. The objective of this investigation is to characterize the learning experience facilitated by AI in these forums, with a focus on its effective integration. A comprehensive literature search using the Scopus database identified 12 articles that met the predetermined inclusion and exclusion criteria. These articles explored six AI applications in online learning: intelligent tutoring systems, AI-assisted apps, chatbots, automatic formative assessment, AI teaching assistants, and AI-assisted lifelong learning assistants. Three types of human-AI partnerships emerged from the analysis: student-AI partnerships, student-AI-student partnerships, and student-AI-teacher partnerships, with the latter being the most prevalent. The extracted content was frequently reviewed and adjusted by teachers to ensure its quality. Community of inquiry theory was adapted to assess the presence of cognitive and social aspects in the learning environment. The results indicate that cognitive presence was more prominent than social presence, with a focus on individual learning achievements. Three distinct perspectives on the role of AI in learning were identified: AI as a virtual teacher, AI as an information facilitator, and AI as an automated evaluator providing feedback to enhance the learning process. The findings suggest that AI was predominantly used in the form of chatbots and generative AI in discussion forums, with emerging roles including virtual teachers, peer/message matching, and automated evaluation. The study highlights the complex interplay between technology, pedagogy, and the learning environment, which is characteristic of entangled pedagogies.",factual,0.5956834532374101,0.3636363636363637,0.4316546762589928,0.4024000056103485,441,254
2-s2.0-105028211049,"As the popularity and accessibility of artificial intelligence (AI) in learning continue to rise, online education has increasingly incorporated AI. It is imperative to investigate how AI in the scholarly community supports the learning of autonomous students. This scoping review investigated articles that employed AI in discussion forums. The objective of this study is to develop a summary that denotes the effective integration of AI in discussion forums, thereby characterizing the overall learning experience. In accordance with the search, appraisal, synthesis, and analysis (SALSA) framework, the preferred reporting items for systematic reviews and meta-analyses (PRISMA) flow diagram was employed to design the article screening and selection process. Scopus was utilized for the literature search, resulting in the identification of twelve articles that met the predetermined inclusion and exclusion criteria. The extracted articles covered the following six applications: intelligent tutoring systems, AI-assisted apps, chatbots, automatic formative assessment, AI teaching assistants, and AI-assisted lifelong learning assistants. Three types of man-machine partnerships related to the activities are discussed: student-AI partnerships, student-AI-student partnerships, and student-AI-teacher partnerships, the latter being the most commonly observed. The generated content was frequently processed through teacher adjustments and checks. Components of community of inquiry theory were adapted as indicators. Cognitive presence was observed to be more predominant than social presence, with a particular emphasis on individual learning achievements. Three distinct perspectives regarding the role of AI in learning were identified. The first perspective posited that AI functioned as a virtual teacher, supplementing the teaching functions of human teachers and delivering information to students. In the second perspective, AI facilitated students in collecting information by enabling interactions with messages or peers. In the third perspective, the significance of the automatic evaluation function, which assessed learning activities and provided feedback to enhance the system while simultaneously implementing immediate changes in the learning process, was acknowledged. Regarding the role of communication, teachers clearly intended for students to acquire knowledge through it. Despite the focus on assisting individual learners, each article encompassed references from a wide range of fields and exhibited substantial diversity overall. Consequently, the domain of discussion forums with AI was depicted through the complex interplay between technology, pedagogy, and the learning environment. This context is known as entangled pedagogies, which emphasize understanding the interconnections among these elements and their reciprocal influences. In summary, AI was predominantly utilized in the form of chatbots and GenAI in discussion forums. Emerging AI roles included virtual teachers, peer/message matching, and automated evaluation. Aggregated information was presented in a manner that supported student learning. AI also served as a conduit between students and teachers. © The Authors.",gemma-2-9b-it,"The integration of artificial intelligence (AI) into online education is rapidly expanding, prompting a need to understand its impact on autonomous learners, particularly within discussion forums. This scoping review aimed to synthesize existing research on AI applications in discussion forums and characterize the resulting learning experience. Utilizing the SALSA framework and PRISMA flow diagram, a comprehensive search of Scopus yielded twelve relevant articles. These articles explored six key applications of AI: intelligent tutoring systems, AI-assisted applications, chatbots, automatic formative assessment, AI teaching assistants, and AI-assisted lifelong learning assistants.  

The review identified three primary models of human-AI interaction in discussion forums: student-AI partnerships, student-AI-student partnerships, and student-AI-teacher partnerships.  Analysis revealed that cognitive presence, particularly in relation to individual learning outcomes, was more prominent than social presence. Three distinct perspectives emerged regarding AI's role in learning: AI as a virtual teacher supplementing human instruction, AI as a facilitator of information access through interactions, and AI as an automated evaluator providing feedback and adapting the learning process.  

While the focus often centered on individual student support, the reviewed articles demonstrated a diverse range of applications across various disciplines. This suggests that AI in discussion forums operates within a complex interplay of technology, pedagogy, and the learning environment, highlighting the concept of entangled pedagogies. In conclusion, this review underscores the evolving role of AI in online discussion forums, with chatbots and generative AI playing prominent roles.  Emerging applications include virtual teaching, peer/message matching, and automated evaluation, ultimately aiming to enhance student learning and communication within the learning environment.",factual,0.5333333333333333,0.24751066856330012,0.38014184397163125,0.3504459012520671,441,264
2-s2.0-105028211049,"As the popularity and accessibility of artificial intelligence (AI) in learning continue to rise, online education has increasingly incorporated AI. It is imperative to investigate how AI in the scholarly community supports the learning of autonomous students. This scoping review investigated articles that employed AI in discussion forums. The objective of this study is to develop a summary that denotes the effective integration of AI in discussion forums, thereby characterizing the overall learning experience. In accordance with the search, appraisal, synthesis, and analysis (SALSA) framework, the preferred reporting items for systematic reviews and meta-analyses (PRISMA) flow diagram was employed to design the article screening and selection process. Scopus was utilized for the literature search, resulting in the identification of twelve articles that met the predetermined inclusion and exclusion criteria. The extracted articles covered the following six applications: intelligent tutoring systems, AI-assisted apps, chatbots, automatic formative assessment, AI teaching assistants, and AI-assisted lifelong learning assistants. Three types of man-machine partnerships related to the activities are discussed: student-AI partnerships, student-AI-student partnerships, and student-AI-teacher partnerships, the latter being the most commonly observed. The generated content was frequently processed through teacher adjustments and checks. Components of community of inquiry theory were adapted as indicators. Cognitive presence was observed to be more predominant than social presence, with a particular emphasis on individual learning achievements. Three distinct perspectives regarding the role of AI in learning were identified. The first perspective posited that AI functioned as a virtual teacher, supplementing the teaching functions of human teachers and delivering information to students. In the second perspective, AI facilitated students in collecting information by enabling interactions with messages or peers. In the third perspective, the significance of the automatic evaluation function, which assessed learning activities and provided feedback to enhance the system while simultaneously implementing immediate changes in the learning process, was acknowledged. Regarding the role of communication, teachers clearly intended for students to acquire knowledge through it. Despite the focus on assisting individual learners, each article encompassed references from a wide range of fields and exhibited substantial diversity overall. Consequently, the domain of discussion forums with AI was depicted through the complex interplay between technology, pedagogy, and the learning environment. This context is known as entangled pedagogies, which emphasize understanding the interconnections among these elements and their reciprocal influences. In summary, AI was predominantly utilized in the form of chatbots and GenAI in discussion forums. Emerging AI roles included virtual teachers, peer/message matching, and automated evaluation. Aggregated information was presented in a manner that supported student learning. AI also served as a conduit between students and teachers. © The Authors.",qwen-2.5-7b-instruct,"This study explores the integration of artificial intelligence (AI) in online discussion forums within the context of autonomous learning. The primary objective is to synthesize existing research on AI applications in discussion forums, aiming to characterize the overall learning experience they facilitate. Employing the SALSA framework and PRISMA guidelines, a comprehensive literature search was conducted using Scopus, resulting in the identification of twelve relevant articles. These articles detail the use of AI in six key areas: intelligent tutoring systems, AI-assisted apps, chatbots, automatic formative assessments, AI teaching assistants, and AI-assisted lifelong learning assistants. The study identifies three types of human-AI interactions: student-AI, student-AI-student, and student-AI-teacher partnerships, with the latter being most prevalent. The findings reveal that cognitive presence predominates over social presence, with a focus on individual learning outcomes. Three distinct roles of AI in learning are delineated: AI as a virtual teacher, facilitator of information collection, and evaluator providing feedback. Communication in these forums primarily serves to enhance individual learning. Despite the diverse applications, a common theme emerges, highlighting the complex interplay between technology, pedagogical approaches, and the learning environment. This interconnection is referred to as entangled pedagogies, underscoring the mutual influence among these elements. The study concludes that AI, particularly through chatbots and generative AI, plays a multifaceted role in supporting student learning and bridging gaps between students and educators.",factual,0.5037257824143071,0.2541106128550074,0.3964232488822652,0.33570263982266846,441,230
2-s2.0-105028211049,"As the popularity and accessibility of artificial intelligence (AI) in learning continue to rise, online education has increasingly incorporated AI. It is imperative to investigate how AI in the scholarly community supports the learning of autonomous students. This scoping review investigated articles that employed AI in discussion forums. The objective of this study is to develop a summary that denotes the effective integration of AI in discussion forums, thereby characterizing the overall learning experience. In accordance with the search, appraisal, synthesis, and analysis (SALSA) framework, the preferred reporting items for systematic reviews and meta-analyses (PRISMA) flow diagram was employed to design the article screening and selection process. Scopus was utilized for the literature search, resulting in the identification of twelve articles that met the predetermined inclusion and exclusion criteria. The extracted articles covered the following six applications: intelligent tutoring systems, AI-assisted apps, chatbots, automatic formative assessment, AI teaching assistants, and AI-assisted lifelong learning assistants. Three types of man-machine partnerships related to the activities are discussed: student-AI partnerships, student-AI-student partnerships, and student-AI-teacher partnerships, the latter being the most commonly observed. The generated content was frequently processed through teacher adjustments and checks. Components of community of inquiry theory were adapted as indicators. Cognitive presence was observed to be more predominant than social presence, with a particular emphasis on individual learning achievements. Three distinct perspectives regarding the role of AI in learning were identified. The first perspective posited that AI functioned as a virtual teacher, supplementing the teaching functions of human teachers and delivering information to students. In the second perspective, AI facilitated students in collecting information by enabling interactions with messages or peers. In the third perspective, the significance of the automatic evaluation function, which assessed learning activities and provided feedback to enhance the system while simultaneously implementing immediate changes in the learning process, was acknowledged. Regarding the role of communication, teachers clearly intended for students to acquire knowledge through it. Despite the focus on assisting individual learners, each article encompassed references from a wide range of fields and exhibited substantial diversity overall. Consequently, the domain of discussion forums with AI was depicted through the complex interplay between technology, pedagogy, and the learning environment. This context is known as entangled pedagogies, which emphasize understanding the interconnections among these elements and their reciprocal influences. In summary, AI was predominantly utilized in the form of chatbots and GenAI in discussion forums. Emerging AI roles included virtual teachers, peer/message matching, and automated evaluation. Aggregated information was presented in a manner that supported student learning. AI also served as a conduit between students and teachers. © The Authors.",mistral-7b-instruct-v0.3,"In the burgeoning era of artificial intelligence (AI) integration, online education is progressively leveraging AI to cater to autonomous learners. This study, conducted as a scoping review, aims to delve into the effective utilization of AI in discussion forums, thereby elucidating the overall learning experience. Adhering to the Search, Appraisal, Synthesis, and Analysis (SALSA) framework and the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, the review screened and selected twelve articles from Scopus that employed AI in discussion forums. The selected articles highlighted six AI applications: intelligent tutoring systems, AI-assisted apps, chatbots, automatic formative assessment, AI teaching assistants, and AI-assisted lifelong learning assistants. The study categorized three types of human-AI collaborations based on activities: student-AI partnerships, student-AI-student partnerships, and student-AI-teacher partnerships, with the latter being most prevalent. The content generated was often subject to teacher adjustments and checks. Elements of the Community of Inquiry theory were adopted as indicators. Cognitive presence was found to be more prominent than social presence, with a focus on individual learning accomplishments. Three distinct viewpoints concerning AI's role in learning were identified. First, AI was perceived as a virtual teacher, augmenting human teachers' teaching functions and disseminating information to students. Second, AI facilitated students in gathering information through interactions with messages or peers. Third, the significance of the automatic evaluation function, which assessed learning activities and provided feedback to optimize the system while simultaneously implementing real-time changes in the learning process, was acknowledged. Communication was instrumental in knowledge acquisition, as intended by teachers. Although the focus was on individual learners, the articles drew references from various disciplines, demonstrating a broad and diverse scope. Thus, the domain of AI in discussion forums was portrayed as an intricate interplay between technology, pedagogy, and the learning environment, a concept known as entangled pedagogies",factual,0.6639999999999999,0.42780748663101603,0.5573333333333333,0.513199469652192,441,309
2-s2.0-105025992333,"This study addresses the critical challenge of transforming traditional reactive maintenance approaches within infrastructure and facilities management into proactive, data-driven strategies leveraging advancements in artificial intelligence. Conventional maintenance, often reliant on fixed schedules or post-failure interventions, falls short in mitigating unexpected downtimes and escalating costs. To overcome these limitations, this research deploys multiple machine learning algorithms, namely, K-Nearest Neighbors (KNN), Support Vector Classifier (SVC), Random Forest Classifier (RFC), and Extreme Gradient Boosting (XGBoost), applied to a comprehensive synthetic predictive maintenance dataset. This dataset encapsulates key operational metrics including temperature, torque, rotational speed, and tool wear across diverse failure modes. The comparative analysis reveals that XGBoost substantially outperforms alternative models, achieving a remarkable accuracy of 98.9% in multiclass failure prediction, supported by an AUC nearing 1.0 and F1 scores above 0.98 in both validation and test sets. RFC and SVC closely follow, each delivering precision and recall rates exceeding 95%. Notably, KNN provides rapid inference, facilitating real-time applications despite slightly lower accuracy metrics (~96.6%). Advanced preprocessing techniques, such as feature scaling, label encoding, and synthetic minority oversampling (SMOTE), enhanced model robustness amid inherent class imbalances. Critical features, including torque and tool wear, exhibited pronounced predictive importance, aligning with known mechanical failure signatures. The findings underscore AI’s potential to revolutionize maintenance by offering granular failure diagnostics and enabling timely interventions, thus significantly reducing operational costs and preventing catastrophic infrastructure failures. This research advances the state-of-the-art by integrating interpretability, cross-model benchmarking, and practical scalability considerations, positioning AI-driven predictive maintenance as a cornerstone of modern infrastructure resilience and sustainability. © 2025 Seaam Bin Masud et al.",llama-3.1-8b-instruct,"This study aims to bridge the gap between traditional reactive maintenance practices in infrastructure and facilities management and proactive, data-driven approaches empowered by artificial intelligence. Conventional maintenance strategies, reliant on fixed schedules or post-failure interventions, are often inadequate in mitigating unexpected downtimes and escalating costs. To address these limitations, this research employs a comprehensive evaluation of four machine learning algorithms - K-Nearest Neighbors (KNN), Support Vector Classifier (SVC), Random Forest Classifier (RFC), and Extreme Gradient Boosting (XGBoost) - on a synthetic predictive maintenance dataset encompassing operational metrics such as temperature, torque, rotational speed, and tool wear across various failure modes. The comparative analysis reveals that XGBoost exhibits superior performance, achieving an accuracy of 98.9% in multiclass failure prediction, accompanied by high AUC and F1 scores in both validation and test sets. Notably, Random Forest Classifier and Support Vector Classifier demonstrate precision and recall rates exceeding 95%, while KNN provides rapid inference capabilities despite slightly lower accuracy metrics. Advanced preprocessing techniques, including feature scaling and synthetic minority oversampling, enhance model robustness in the presence of class imbalances. The results highlight the significance of torque and tool wear as critical predictive features, aligning with established mechanical failure signatures. The findings underscore the potential of AI to transform maintenance practices by enabling granular failure diagnostics and timely interventions, thereby reducing operational costs and preventing catastrophic infrastructure failures. This research contributes to the advancement of AI-driven predictive maintenance by integrating interpretability, cross-model benchmarking, and practical scalability considerations, positioning it as a cornerstone of modern infrastructure resilience and sustainability.",factual,0.7729831144465291,0.5423728813559322,0.6904315196998124,0.6994420335763494,275,258
2-s2.0-105025992333,"This study addresses the critical challenge of transforming traditional reactive maintenance approaches within infrastructure and facilities management into proactive, data-driven strategies leveraging advancements in artificial intelligence. Conventional maintenance, often reliant on fixed schedules or post-failure interventions, falls short in mitigating unexpected downtimes and escalating costs. To overcome these limitations, this research deploys multiple machine learning algorithms, namely, K-Nearest Neighbors (KNN), Support Vector Classifier (SVC), Random Forest Classifier (RFC), and Extreme Gradient Boosting (XGBoost), applied to a comprehensive synthetic predictive maintenance dataset. This dataset encapsulates key operational metrics including temperature, torque, rotational speed, and tool wear across diverse failure modes. The comparative analysis reveals that XGBoost substantially outperforms alternative models, achieving a remarkable accuracy of 98.9% in multiclass failure prediction, supported by an AUC nearing 1.0 and F1 scores above 0.98 in both validation and test sets. RFC and SVC closely follow, each delivering precision and recall rates exceeding 95%. Notably, KNN provides rapid inference, facilitating real-time applications despite slightly lower accuracy metrics (~96.6%). Advanced preprocessing techniques, such as feature scaling, label encoding, and synthetic minority oversampling (SMOTE), enhanced model robustness amid inherent class imbalances. Critical features, including torque and tool wear, exhibited pronounced predictive importance, aligning with known mechanical failure signatures. The findings underscore AI’s potential to revolutionize maintenance by offering granular failure diagnostics and enabling timely interventions, thus significantly reducing operational costs and preventing catastrophic infrastructure failures. This research advances the state-of-the-art by integrating interpretability, cross-model benchmarking, and practical scalability considerations, positioning AI-driven predictive maintenance as a cornerstone of modern infrastructure resilience and sustainability. © 2025 Seaam Bin Masud et al.",gemma-2-9b-it,"Traditional reactive maintenance practices in infrastructure and facilities management often lead to unexpected downtime and escalating costs. This study investigates the potential of machine learning to transition towards proactive, data-driven predictive maintenance strategies.  To achieve this, several machine learning algorithms, including K-Nearest Neighbors, Support Vector Classifier, Random Forest Classifier, and Extreme Gradient Boosting, were applied to a comprehensive dataset containing operational metrics such as temperature, torque, rotational speed, and tool wear, encompassing various failure modes. 

The results demonstrate that Extreme Gradient Boosting achieved the highest predictive accuracy (98.9%) for multiclass failure prediction, with an AUC score close to 1.0 and F1 scores exceeding 0.98 in both validation and test sets. Random Forest Classifier and Support Vector Classifier followed closely, achieving precision and recall rates above 95%.  While K-Nearest Neighbors exhibited slightly lower accuracy (~96.6%), its rapid inference capabilities make it suitable for real-time applications.  

The implementation of preprocessing techniques, including feature scaling, label encoding, and synthetic minority oversampling, enhanced the robustness of the models in addressing class imbalances within the dataset.  Torque and tool wear emerged as critical predictive features, aligning with established mechanical failure patterns.  This research highlights the transformative potential of AI in optimizing maintenance practices by enabling granular failure diagnostics and timely interventions, ultimately minimizing operational costs and preventing catastrophic infrastructure failures.  By integrating interpretability, cross-model benchmarking, and scalability considerations, this study advances the field of AI-driven predictive maintenance, positioning it as a key component of modern infrastructure resilience and sustainability.",factual,0.7032136105860114,0.3870967741935484,0.5368620037807182,0.6219965571502175,275,254
