source_id,model_name,prompt_type,generated_abstract,temperature,top_p
2-s2.0-105027458145,llama-3.1,factual,"The reliability and efficiency of aircraft maintenance are critical factors in the aviation industry, with significant implications for safety, cost-effectiveness, and operational performance. Recent advancements in artificial intelligence (AI) have sparked interest in leveraging its capabilities to revolutionize various aspects of aircraft maintenance, including predictive maintenance, fault diagnosis, and health monitoring. This study undertakes a comprehensive examination of AI applications in aircraft maintenance through a systematic literature review. A thorough search of academic publications yielded a dataset of 696 papers spanning four decades (1984-2024), documenting the integration of AI technologies such as Automated Reasoning and Deep Learning with airworthiness management, health monitoring, and maintenance operations. The analysis identifies key AI technologies, associated aircraft maintenance processes, emerging trends, prominent research venues, and underexplored areas. Ultimately, this review provides insights into the adoption of AI in aircraft maintenance, highlighting potential implications for researchers, practitioners, educators, and other stakeholders seeking to optimize maintenance practices through innovative AI-based solutions.",0.4,0.9
2-s2.0-105028211049,llama-3.1,factual,"This study examines the integration of artificial intelligence (AI) in online discussion forums to support autonomous learners. As AI becomes increasingly prevalent in education, it is essential to investigate its impact on the learning experience. A systematic review was conducted using the SALSA framework and PRISMA flow diagram to identify 12 articles that employed AI in discussion forums. The extracted articles covered six applications of AI, including intelligent tutoring systems, chatbots, and automatic formative assessment. Three types of man-machine partnerships were observed: student-AI, student-AI-student, and student-AI-teacher. Analysis revealed that cognitive presence was more predominant than social presence, with a focus on individual learning achievements. Three perspectives emerged regarding the role of AI in learning: supplementing human teaching functions, facilitating information collection, and providing automatic evaluation and feedback. The study also highlighted the importance of communication in acquiring knowledge through AI-mediated interactions. The findings demonstrate that AI is utilized in various forms, including chatbots and generative AI, to support student learning and facilitate connections between students and teachers. Overall, this research contributes to our understanding of the complex interplay between technology, pedagogy, and the learning environment, known as entangled pedagogies.",0.4,0.9
2-s2.0-105025992333,llama-3.1,factual,"This study aims to transform traditional reactive maintenance strategies in infrastructure and facilities management into proactive, data-driven approaches leveraging advancements in artificial intelligence. Conventional maintenance methods often rely on fixed schedules or post-failure interventions, which are inadequate for mitigating unexpected downtimes and escalating costs. To address these limitations, this research applies multiple machine learning algorithms to a comprehensive synthetic predictive maintenance dataset that encapsulates key operational metrics such as temperature, torque, rotational speed, and tool wear across diverse failure modes.

The objective of this study is to evaluate the performance of various machine learning models in predicting multiclass failures and identify the most effective approach. The comparative analysis reveals that Extreme Gradient Boosting (XGBoost) substantially outperforms alternative models, achieving a remarkable accuracy of 98.9% in multiclass failure prediction, supported by an Area Under the Curve (AUC) nearing 1.0 and F1 scores above 0.98 in both validation and test sets.

The Random Forest Classifier (RFC) and Support Vector Classifier (SVC) closely follow, each delivering precision and recall rates exceeding 95%. Notably, K-Nearest Neighbors (KNN) provides rapid inference, facilitating real-time applications despite slightly lower accuracy metrics (~96.6%). Advanced preprocessing techniques, such as feature scaling, label encoding, and synthetic minority oversampling (SMOTE), enhance model robustness amid inherent class imbalances.

The findings underscore the potential of AI to revolutionize maintenance by offering granular failure diagnostics and enabling timely interventions, thus significantly reducing operational costs and preventing catastrophic infrastructure failures. This research advances the state-of-the-art by integrating interpretability, cross-model benchmarking, and practical scalability considerations, positioning AI-driven predictive maintenance as a cornerstone of modern infrastructure resilience and sustainability.",0.4,0.9
2-s2.0-105029693998,llama-3.1,factual,"Machine learning (ML) methods have shown promise in detecting depression from social media posts; however, their effectiveness in Arabic-speaking populations remains understudied. This research addresses this knowledge gap by introducing the ArabMindGuard (AMG) dataset, comprising 3083 expertly annotated tweets from Saudi Arabia, and systematically comparing ML performance across five datasets representing multiple Arabic dialects, including Saudi, Jordanian, and Modern Standard Arabic (MSA). A rigorous evaluation framework was employed, incorporating precision, recall, F1-score, and statistical significance testing to assess the performance of nine ML classifiers. Advanced Arabic-specific natural language processing techniques were leveraged, including Term Frequency-Inverse Document Frequency (TF-IDF), N-gram analysis, and CAMeL tools, to evaluate the efficacy of ensemble methods and Support Vector Machines (SVM). The results indicate that ensemble methods and SVM consistently outperform other approaches, achieving F1-scores ranging from 0.82 to 0.95 across the datasets. These findings highlight the significance of dialectal variation in depression detection and provide foundational baseline metrics for future deep learning applications. This study contributes to culturally responsive digital mental health interventions in the Arab world by establishing methodological benchmarks for Arabic mental health text analysis.",0.4,0.9
2-s2.0-105029692411,llama-3.1,factual,"The integrity and transparency of electoral processes are increasingly dependent on the reliable administration of voting systems, particularly in large-scale elections where timely declaration of results is crucial. However, existing security methods often suffer from limitations such as single points of failure (SPOF) and poor scalability. Moreover, blockchain-based solutions that rely on Proof of Work (PoW) or Proof of Stake (PoS) introduce their own challenges, including reduced throughput, high energy consumption, and vulnerability to emerging post-quantum attacks. Recent instances of electoral misinformation campaigns have highlighted the potential for chaos and compromised voter privacy in contemporary systems. To address these concerns, this study proposes a novel blockchain-based hybrid consensus voting mechanism called Post Quantum Secured Hierarchical Authoritative Consensus (PQSHAC). PQSHAC incorporates an optimized sharding protocol that leverages the distributed nature of election data to reduce skewness and increase shard cohesion. Additionally, a token generation protocol is employed to prevent extraneous voting and ensure voter privacy. Experimental results demonstrate the efficacy of PQSHAC in achieving high throughput and robust security against quantum computing attacks via Dilithium-3 integration. Notably, the proposed modular ledger architecture reduces storage requirements by approximately 60% compared to non-modular approaches. The findings of this study underscore the strengths of PQSHAC as a secure and efficient solution for improving trust and dependability in contemporary voting systems.",0.4,0.9
2-s2.0-105029674177,llama-3.1,factual,"This study addresses a critical issue in Continuously Reinforced Concrete Pavement (CRCP) infrastructure management, namely transverse cracking, which compromises ride quality, service life, and maintenance strategies. To improve the accuracy of transverse crack prediction, a novel hybrid framework is proposed that integrates Particle Swarm Optimization (PSO) with Gradient Boosting Machine (GBM). A comprehensive dataset comprising 395 records from 33 pavement sections in the Long-Term Pavement Performance (LTPP) program was utilized to inform model development. The PSO algorithm was employed to optimize critical GBM hyperparameters, including iteration count, learning rate, and tree depth. Results indicate that the optimized PSO-GBM model exhibits superior performance compared to benchmark models such as conventional GBM, Random Forest, Support Vector Regression (SVR), Artificial Neural Networks (ANN), and Linear Regression, with an average Root Mean Squared Error (RMSE) of 1.62 and a coefficient of determination (R2) of 0.99 under 5-fold cross-validation. Sensitivity analysis revealed that pavement layer thicknesses (L3 and L4) and Annual Average Daily Traffic (AADT) are the most influential factors in transverse crack development, consistent with theoretical expectations. The robustness and stability of the proposed approach were validated through residual distribution plots and equality line analyses across various severity levels.",0.4,0.9
2-s2.0-105029655752,llama-3.1,factual,"The proliferation of misinformation in digital media poses a pressing concern that necessitates effective solutions. Artificial intelligence (AI) has emerged as a promising approach for detecting genuine and fake news. This study develops an enhanced convolutional neural network (CNN) model to improve the accuracy of news authenticity recognition. The proposed CNN model leverages deep learning techniques, which are optimized through iterative refinement. Experimental results demonstrate that the improved CNN model significantly outperforms its counterparts in identifying authentic and fabricated content. Specifically, after 50 iterations, it achieves an impressive accuracy rate of 96.97%, surpassing a baseline model based on random deactivation techniques by 7.29%. The model's superiority is also evident across various datasets, including FakeNewsNet and LIAR. On the former dataset, its normalized mutual information reaches 84.82%, representing a notable improvement over traditional methods (5.05% increase) and models based on random inactivation techniques (10.25% increase). Similarly, on the latter dataset, it achieves an adjusted Rand index of 87.32%. The study's primary contribution lies in harnessing AI technology to develop robust CNN models for mitigating the spread of misinformation, thereby safeguarding societal information security, upholding public right-to-know principles, and promoting the dissemination of accurate news.",0.4,0.9
2-s2.0-105029655497,llama-3.1,factual,"In the realm of intelligent manufacturing, the accurate classification of weld bead defects is a critical challenge in Gas Metal Arc Welding (GMAW) processes, particularly in robotic welding applications. To address this issue, we propose a novel hybrid machine learning approach that synergizes the strengths of Convolutional Neural Networks (CNN) and Vision Transformers (ViT). This innovative framework leverages CNN's ability to extract localized features with high precision, while ViT provides global contextual awareness, enabling the model to capture complex relationships between weld bead characteristics. We demonstrate that our hybrid architecture outperforms traditional architectures such as ResNet and conventional CNN models in terms of classification accuracy. The performance evaluation of our proposed model reveals its robustness and reliability across diverse operational scenarios, underscoring the potential of integrating hybrid deep learning models into industrial automation systems to enhance weld bead defect detection. By reducing operational inefficiencies and ensuring consistent weld quality, our findings contribute significantly to the advancement of manufacturing process efficiency in GMAW applications.",0.4,0.9
2-s2.0-105029636887,llama-3.1,factual,"This study proposes an innovative hybrid framework for sentiment analysis specifically designed for the Greek language. By integrating a novel lexicon construction methodology with Active Learning (AL) strategies, we aim to improve performance and reduce annotation effort. A domain-specific lexicon was developed using two custom metrics: Score<inf>w</inf>, which captures the sentiment polarity of words, and Weight<inf>w</inf>, which reflects their combined emotional and statistical importance. These metrics enabled the transformation of tweet-level annotations into semantically rich word-level representations. To evaluate the framework's efficacy, we trained four classification models (Naïve Bayes, Logistic Regression, SVM, and Decision Trees) with and without lexicon-derived features. The results demonstrate significant improvements in accuracy and F1-score when incorporating the lexicon, particularly for Logistic Regression and Decision Tree models. Furthermore, a dynamic Active Learning approach was employed, where the lexicon was reconstructed in each cycle using the evolving labeled dataset. This strategy achieved comparable levels of accuracy and Macro F1-score to full-supervision, while utilizing only 30% of the data. The findings suggest that combining lexicon enhancement with uncertainty-based sampling offers a cost-effective and scalable solution for sentiment analysis in low-resource languages such as Greek.",0.4,0.9
2-s2.0-105029619980,llama-3.1,factual,"In materials design, machine learning predictors derived from word embeddings of atoms have garnered significant attention in recent years. However, the reliability and robustness of these predictors are contingent upon the variability inherent in their underlying representations. This study investigates whether the static word embeddings affiliated with physicochemical entities exhibit variability due to information heterogeneity within training material. Specifically, we examine the effects of vocabulary term selection on individual atomic embeddings and assess their impact on domain-specialized information transfer. Our analysis reveals substantial variability in atomic embeddings, which is largely influenced by the choice of language modelling terms. Notably, this variability does not preclude the successful mapping of materials' composite predictors into physicochemical properties when joined atomic embeddings are incorporated within a regression model estimating compound stability through formation energy prediction. Furthermore, our results demonstrate that vector calibration via dimensional reduction maintains the encoded information and predictive performance stability. This research provides empirical evidence on the magnitude of variability in word embeddings of physicochemical entities, highlighting their potential to facilitate stable predictive performance despite origin-dependent differences.",0.4,0.9
